,cycle,time_start,time_end,u,v,w,B_u,dB_u,B_v,dB_v,B_w,dB_w,x,y,z,B_x,B_y,B_z
81,81,1565406333,1565406337,-27.95,82.37,47.25,0.255696,0.000422291,2.0672,0.000234521,0.408118,0.001072716,38.2,-47.25,81.12,-0.255696,-0.408118,2.0672
126,126,1565407263,1565407267,-67.95,82.37,47.25,0.213512,0.000191364,2.00114,8.94E-05,0.405832,0.000747576,78.2,-47.25,81.12,-0.213512,-0.405832,2.00114
16,16,1565404921,1565404925,12.05,82.37,87.25,0.294066,0.000189288,2.16998,0.000130384,0.409738,0.000569623,-1.8,-87.25,81.12,-0.294066,-0.409738,2.16998
51,51,1565405807,1565405811,-7.95,82.37,87.25,0.262654,0.001214426,2.14132,0.000130384,0.406906,0.000373403,18.2,-87.25,81.12,-0.262654,-0.406906,2.14132
86,86,1565406428,1565406432,-27.95,82.37,87.25,0.241076,8.50E-05,2.1109,0.000122474,0.408372,0.000792698,38.2,-87.25,81.12,-0.241076,-0.408372,2.1109
121,121,1565407203,1565407207,-67.95,82.37,87.25,0.19114,0.000814709,2.0586,0.0002,0.407368,0.00118185,78.2,-87.25,81.12,-0.19114,-0.407368,2.0586
21,21,1565405006,1565405010,12.05,82.37,127.25,0.300526,0.001071555,2.20706,0.000151658,0.43175,0.000298998,-1.8,-127.25,81.12,-0.300526,-0.43175,2.20706
46,46,1565405709,1565405713,-7.95,82.37,127.25,0.270784,0.000769662,2.1844,0.000956556,0.41913,0.004691865,18.2,-127.25,81.12,-0.270784,-0.41913,2.1844
91,91,1565406515,1565406519,-27.95,82.37,127.25,0.231476,0.00091724,2.16198,0.000130384,0.42376,0.000260192,38.2,-127.25,81.12,-0.231476,-0.42376,2.16198
116,116,1565407132,1565407136,-67.95,82.37,127.25,0.19585,0.000123491,2.12116,5.48E-05,0.418894,0.000236707,78.2,-127.25,81.12,-0.19585,-0.418894,2.12116
26,26,1565405140,1565405144,12.05,82.37,167.25,0.306802,0.000151559,2.25462,0.000164317,0.455472,0.000804065,-1.8,-167.25,81.12,-0.306802,-0.455472,2.25462
41,41,1565405577,1565405581,-7.95,82.37,167.25,0.262652,0.000404191,2.23872,0.000148324,0.446292,0.000544169,18.2,-167.25,81.12,-0.262652,-0.446292,2.23872
96,96,1565406633,1565406637,-27.95,82.37,167.25,0.240632,0.000173118,2.22296,0.000219089,0.43387,0.001181969,38.2,-167.25,81.12,-0.240632,-0.43387,2.22296
111,111,1565407046,1565407050,-67.95,82.37,167.25,0.184028,0.000198419,2.19966,8.94E-05,0.402622,0.000447962,78.2,-167.25,81.12,-0.184028,-0.402622,2.19966
141,141,1565407650,1565407654,-67.95,82.37,207.25,0.200034,0.000557432,2.28218,8.37E-05,0.400902,0.00033222,78.2,-207.25,81.12,-0.200034,-0.400902,2.28218
186,186,1565408858,1565408862,-27.95,82.37,207.25,0.26316,0.000790538,2.29724,0.000151658,0.428444,0.000908202,38.2,-207.25,81.12,-0.26316,-0.428444,2.29724
191,191,1565408987,1565408991,-7.95,82.37,207.25,0.26938,0.000180831,2.30262,0.000238747,0.476306,0.001276139,18.2,-207.25,81.12,-0.26938,-0.476306,2.30262
196,196,1565409129,1565409133,12.05,82.37,207.25,0.30647,0.003857233,2.31474,0.000541295,0.491106,0.000956389,-1.8,-207.25,81.12,-0.30647,-0.491106,2.31474
146,146,1565407731,1565407735,-67.95,82.37,247.25,0.228254,0.000359068,2.38092,4.47E-05,0.347008,0.000200674,78.2,-247.25,81.12,-0.228254,-0.347008,2.38092
171,171,1565408481,1565408485,12.05,82.37,247.25,0.356528,0.003005032,2.39906,0.000391152,0.49627,0.000526688,-1.8,-247.25,81.12,-0.356528,-0.49627,2.39906
176,176,1565408567,1565408571,-7.95,82.37,247.25,0.318614,0.001152055,2.39106,0.000219089,0.447022,0.001092712,18.2,-247.25,81.12,-0.318614,-0.447022,2.39106
181,181,1565408726,1565408730,-27.95,82.37,247.25,0.29782,0.000271385,2.38348,8.37E-05,0.42766,0.000604525,38.2,-247.25,81.12,-0.29782,-0.42766,2.38348
151,151,1565407868,1565407872,-67.95,82.37,287.25,0.289616,0.000102616,2.4838,0,0.303496,0.000283161,78.2,-287.25,81.12,-0.289616,-0.303496,2.4838
156,156,1565408082,1565408086,-27.95,82.37,287.25,0.352214,0.000313895,2.48782,0.000130384,0.427438,0.001188137,38.2,-287.25,81.12,-0.352214,-0.427438,2.48782
161,161,1565408219,1565408223,-7.95,82.37,287.25,0.38923,0.000213424,2.49876,8.94E-05,0.468504,0.000798799,18.2,-287.25,81.12,-0.38923,-0.468504,2.49876
166,166,1565408339,1565408343,12.05,82.37,287.25,0.453974,0.001150882,2.51576,0.000531977,0.514014,0.002272406,-1.8,-287.25,81.12,-0.453974,-0.514014,2.51576
31,31,1565405263,1565405267,12.05,82.37,327.25,0.642736,0.000501228,2.6891,0.000339116,0.503174,0.00237782,-1.8,-327.25,81.12,-0.642736,-0.503174,2.6891
36,36,1565405388,1565405392,-7.95,82.37,327.25,0.549232,0.001877331,2.64526,0.000343511,0.390396,0.000870132,18.2,-327.25,81.12,-0.549232,-0.390396,2.64526
101,101,1565406806,1565406810,-27.95,82.37,327.25,0.476618,0.001089688,2.6179,0.000234521,0.300022,0.000495045,38.2,-327.25,81.12,-0.476618,-0.300022,2.6179
106,106,1565406929,1565406933,-67.95,82.37,327.25,0.338648,0.001968228,2.60524,0.000279285,0.214316,0.000381746,78.2,-327.25,81.12,-0.338648,-0.214316,2.60524
2,2,1565404650,1565404654,12.05,122.37,-32.75,0.26628,0.001598296,2.1416,7.07E-05,0.325922,0.002057576,-1.8,32.75,121.12,-0.26628,-0.325922,2.1416
67,67,1565406066,1565406070,-7.95,122.37,-32.75,0.23742,0.001739066,2.091,0.000187083,0.32445,0.000845133,18.2,32.75,121.12,-0.23742,-0.32445,2.091
72,72,1565406164,1565406168,-27.95,122.37,-32.75,0.228934,0.008219156,2.0383,0.000212132,0.330034,0.008477003,38.2,32.75,121.12,-0.228934,-0.330034,2.0383
137,137,1565407494,1565407498,-67.95,122.37,-32.75,0.1700918,0.003075305,1.94558,0.000389872,0.350768,0.000330333,78.2,32.75,121.12,-0.1700918,-0.350768,1.94558
7,7,1565404752,1565404756,12.05,122.37,7.25,0.243602,0.000190184,2.16638,4.47E-05,0.345284,0.000228539,-1.8,-7.25,121.12,-0.243602,-0.345284,2.16638
